Structure, Text
"SEC. 51A-2.101","INTERPRETATIONS."
"SEC. 51A-2.101_1","Unless the context clearly indicates otherwise, the following rules apply in interpreting this chapter:"
"SEC. 51A-2.101_1","(1)   Words used in the present tense include the future tense."
"SEC. 51A-2.101_2","(2)   Words in the singular include the plural, and words in the plural include the singular."
"SEC. 51A-2.101_3","(3)   The word “building” includes the word “structure”, and the word “structure” includes the word “building.”"
"SEC. 51A-2.101_4","(4)   The word “lot” includes the words “building site,” “site,” “plot” or “tract.”"
"SEC. 51A-2.101_5","(5)   The word “shall” is mandatory and not discretionary."
"SEC. 51A-2.101_6","(6)   If there is a conflict:"
"SEC. 51A-2.101_6_1","(A)   the text of this chapter controls over the charts or any other graphic display in this chapter;"
"SEC. 51A-2.101_6_2","(B)   the use regulations (Division 51A-4.200) control over the district regulations (Division 51A-4.100, et seq.) in this chapter; and"
"SEC. 51A-2.101_6_3","(C)   the text, charts, or other graphic display in Article XIII control over the text, charts, or other graphic display in other articles of this chapter.  (Ord. Nos. 19455; 27495)"
"SEC. 51A-2.102","DEFINITIONS."
"SEC. 51A-2.102_1","In this chapter, unless the context requires otherwise:"
"SEC. 51A-2.102_1","(1)   “A” DISTRICT means the agricultural district established under Chapter 51."
"SEC. 51A-2.102_2","(2)   “A(A)” DISTRICT means the agricultural district established under this chapter."
"SEC. 51A-2.102_2_1","(2.1)   ACCESSORY STRUCTURE means a structure located on the same lot as the main building that is subordinate in floor area, location, and purpose to the main building and used for a permitted accessory use."
"SEC. 51A-2.102_3","(3)   ACCESSORY USES means those uses defined in Section 51A-4.217."
"SEC. 51A-2.102_4","(4)   AGRICULTURAL DISTRICT means the A(A) district established under this chapter."
"SEC. 51A-2.102_5","(5)   AGRICULTURAL USES means those uses defined in Section 51A-4.201."
"SEC. 51A-2.102_6","(6)   AIRPORT HAZARD means any structure, tree, sign, vehicle or use of land which obstructs the airspace required for the flight of aircraft in landing or taking off at an airport, or is otherwise hazardous to the landing or taking off of aircraft."
"SEC. 51A-2.102_7","(7)   ALLEY means a right-of-way which provides secondary access to adjacent property."
"SEC. 51A-2.102_7_1","(7.1)   ARTERIAL means a street designated as either a principal or minor arterial in the city’s thoroughfare plan."
"SEC. 51A-2.102_8","(8)   BASEMENT means any level of a building where more than one half of the vertical distance between floor and ceiling is below grade."
"SEC. 51A-2.102_8_1","(8.1)   BATHROOM means any room used for personal hygiene and containing a shower or bathtub, or containing a toilet and sink."
"SEC. 51A-2.102_9","(9)   BEDROOM means any room in a dwelling unit other than a kitchen, dining room, living room, bathroom, or closet. Additional dining rooms and living rooms, and all dens, game rooms, sun rooms, and other similar rooms are considered bedrooms."
"SEC. 51A-2.102_9_1","(9.1)   BICYCLE PARKING means Class I bicycle parking and Class II bicycle parking."
"SEC. 51A-2.102_10","(10)    BLOCK means an area bounded by streets on all sides."
"SEC. 51A-2.102_10_1","(10.1)   BLOCKFACE means:"
"SEC. 51A-2.102_10_1_1","(A)   the distance along one side of a street between the two nearest intersecting streets;"
"SEC. 51A-2.102_10_1_2","(B)   where a street deadends, the distance along one side of a street between the nearest intersecting street and the end of the deadend street; or"
"SEC. 51A-2.102_10_1_3","(C)   where a street centerline contains a change of direction 90 degrees or more, the distance along one side of a street between either the nearest intersecting street or the deadend and the point determining the angle of the change of direction."
"SEC. 51A-2.102_11","(11)   BOARD means the board of adjustment."
"SEC. 51A-2.102_11_1","(11.1)   BREEZEWAY means an unenclosed passage connecting two buildings or portions of a building."
"SEC. 51A-2.102_12","(12)   BUILDING means a structure for the support or shelter of any use or occupancy."
"SEC. 51A-2.102_13","(13)   BUILDING LINE means a line marking the minimum distance a building may be erected from a street, alley, or lot line. (Also called the “setback line.”)"
"SEC. 51A-2.102_14","(14)   BUILDING OFFICIAL means the person designated by the city manager as the building official of the city, or the building official’s authorized representative."
"SEC. 51A-2.102_15","(15)   BUILDING SITE means property that meets the requirements of Section 51A-4.601."
"SEC. 51A-2.102_16","(16)   “CA-1” DISTRICT means the CA-1 district established under Chapter 51."
"SEC. 51A-2.102_17","(17)   “CA-1(A)” DISTRICT means the CA-1(A) district established under this chapter."
"SEC. 51A-2.102_18","(18)   “CA-2” DISTRICT means the CA-2 district established under Chapter 51."
"SEC. 51A-2.102_19","(19)   “CA-2(A)” DISTRICT means the CA-2(A) district established under this chapter."
"SEC. 51A-2.102_20","(20)   CENTER LINE means a line running midway between the bounding right-of-way lines of a street or alley. Where the bounding right-of-way lines are irregular, the center line shall be determined by the director of public works."
"SEC. 51A-2.102_21","(21)   CENTRAL AREA DISTRICTS means the CA-1(A) and CA-2(A) districts established under this chapter."
"SEC. 51A-2.102_22","(22)   CENTRAL BUSINESS DISTRICT means the area of the city within Woodall Rodgers Freeway, Central Expressway (elevated bypass), R. L. Thornton Freeway, and Stemmons Freeway."
"SEC. 51A-2.102_23","(23)   CITY COUNCIL means the governing body of the city."
"SEC. 51A-2.102_23_1","(23.1)   CLASS I BICYCLE PARKING means unenclosed parking spaces intended for bicycles where one or both wheels and the frame of a bicycle can be secured to a rack with a user-supplied lock."
