Structure, Text
"SEC. 51A-3.101","CITY PLAN AND ZONING COMMISSION."
"SEC. 51A-3.101_1","(a)   Creation; membership; appointment.  There is hereby created the city plan and zoning commission which consists of 15 members.  Each city council member shall appoint one member to the board.  The chair shall be appointed by the mayor and the vice-chair shall be appointed by the city council.  Members serve for two-year terms beginning on October 1 of odd-numbered years and serve until their successors are appointed and qualified.  Members must possess the same qualifications and are subject to the same disqualifications as members of the city council.  A vacancy occurring during the unexpired term of a member will be filled in the same manner as the original appointment was made."
"SEC. 51A-3.101_2","(b)   Quorum and voting.  All cases heard by the commission must be heard by a minimum number equal to a quorum of the membership.  A simple majority of the membership of the commission, less any unfilled vacancies, constitutes a quorum. Except as otherwise required by state law, the number of votes necessary to decide a matter is a simple majority of the members present."
"SEC. 51A-3.101_3","(c)   Powers and duties.  The commission has the following powers and duties:"
"SEC. 51A-3.101_3_1","(1)   To serve as an advisory body to the city council concerning amendments to the zoning ordinance and the granting or denial of specific use permits."
"SEC. 51A-3.101_3_2","(2)   To administer the provisions of state law, regarding the platting and recording of subdivisions and additions,  and to require the owners and developers of land who desire to plat or replat land for urban development to:"
"SEC. 51A-3.101_3_2_1","(A)   dedicate streets, alleys, parks, easements or other public places of adequate dimensions;"
"SEC. 51A-3.101_3_2_2","(B)   coordinate street layouts and street planning with the city and with the county, state and federally designated highways; and"
"SEC. 51A-3.101_3_2_3","(C)   provide for building setback lines."
"SEC. 51A-3.101_3_3","(3)   To consider the character of development or land use contemplated by proposed platting and zoning of property, and to require off-street parking and streets and alleys of adequate dimensions."
"SEC. 51A-3.101_3_4","(4)   To  advise and make recommendations on the comprehensive plan and its implementation as may be requested by the city council or city manager."
"SEC. 51A-3.101_3_5","(5)   To advertise and hold public hearings on zoning or changes in zoning."
"SEC. 51A-3.101_3_6","(6)   To exercise all other responsibilities as may be provided by applicable law."
"SEC. 51A-3.101_4","(d)   Meetings, records and rules."
"SEC. 51A-3.101_4_1","(1)   All meetings and hearings of the commission must be open to the public in accordance with the Texas Open Meetings Act, Texas Government Code Chapter 551."
"SEC. 51A-3.101_4_2","(2)   All records of the commission are public records open to inspection at reasonable times and upon reasonable notice in accordance with the Texas Public Information Act, Texas Government Code Section 552."
"SEC. 51A-3.101_4_3","(3)   The commission shall adopt, subject to approval of city council, rules, not inconsistent with state law or city ordinances, governing its proceedings."
"SEC. 51A-3.101_5","(e)   Effect of decisions.  Actions taken or recommendations made by the commission are not binding upon the city council and the city council may decide a matter contrary to the recommendations or actions of the commission.  (Ord. Nos. 19455; 21153; 24843; 27892)"
"SEC. 51A-3.102","BOARD OF ADJUSTMENT."
"SEC. 51A-3.102_1","(a)   Creation; membership; appointment. There is hereby created the board of adjustment which shall consist of 15 members who are residents of the city. Each city council member shall appoint one member to the board. The chair and two vice-chairs shall be appointed by the mayor from among the board members.  The city secretary shall divide the board into panels of five members each. A board member may serve only on the panel to which he or she is assigned. To the greatest extent practicable, the panels must reflect the geographic and ethnic diversity of the city. The chair and vice-chairs shall act as presiding officers of the panels. Members serve for two-year terms beginning on October 1 of odd-numbered years and shall serve until their successors are appointed and qualified. A vacancy for the unexpired term of any member will be filled in the same manner as the original appointment was made. The city council may appoint six alternate members to the board who serve in the absence of one or more regular members when requested to do so by the board chair, the presiding officer of a board panel, or by the city manager. The alternate members serve for the same period and are subject to removal the same as regular members. The city council shall fill vacancies occurring in the alternate membership the same as in the regular membership."
"SEC. 51A-3.102_2","(b)   Case assignments.  The board shall adopt rules for the assignment of cases to a panel. Only one panel may hear, handle, or render a decision in a particular case. If a case is dismissed or withdrawn and subsequently refiled within five years of the date the original case was dismissed or withdrawn, it must be returned to the panel to which it was originally assigned."
"SEC. 51A-3.102_3","(c)   Quorum and voting. Cases must be heard by a minimum of 75 percent of the members of a board panel. The concurring vote of 75 percent of the members of a panel is necessary to:"
"SEC. 51A-3.102_3_1","(1)   reverse an order, requirement, decision, or determination of an administrative official involving the interpretation or enforcement of the zoning ordinance;"
"SEC. 51A-3.102_3_2","(2)   decide in favor of an applicant on a matter on which the board is required to pass under state law, the city charter, or city ordinances; or"
"SEC. 51A-3.102_3_3","(3)   grant a variance."
"SEC. 51A-3.102_4","(d)   Powers and duties. The board has the following powers and duties, which must be exercised in accordance with this chapter:"
