Structure, Text
"SEC. 51A-4.101","NEW ZONING DISTRICTS ESTABLISHED."
"SEC. 51A-4.101_1","(1)   Residential districts."
"SEC. 51A-4.101_1_1","(A)   A(A)   Agricultural district."
"SEC. 51A-4.101_1_2","(B)   R-1ac(A)   Single family district 1 acre."
"SEC. 51A-4.101_1_3","(C)   R-1/2ac(A)   Single family district 1/2 acre."
"SEC. 51A-4.101_1_4","(D)   R-16(A)   Single family district 16,000 square feet."
"SEC. 51A-4.101_1_5","(E)   R-13(A)   Single family district 13,000 square feet."
"SEC. 51A-4.101_1_6","(F)   R-10(A)   Single family district 10,000 square feet."
"SEC. 51A-4.101_1_7","(G)   R-7.5(A)   Single family district 7,500 square feet."
"SEC. 51A-4.101_1_8","(H)   R-5(A)   Single family district 5,000 square feet."
"SEC. 51A-4.101_1_9","(I)   D(A)   Duplex district."
"SEC. 51A-4.101_1_10","(J)   TH-1(A)   Townhouse district 1."
"SEC. 51A-4.101_1_11","(K)   TH-2(A)   Townhouse district 2."
"SEC. 51A-4.101_1_12","(L)   TH-3(A)   Townhouse district 3."
"SEC. 51A-4.101_1_13","(M)   CH      Clustered  housing district."
"SEC. 51A-4.101_1_14","(N)   MF-1(A)   Multifamily district 1."
"SEC. 51A-4.101_1_15","(O)   MF-1(SAH)   Multifamily district 1 affordable."
"SEC. 51A-4.101_1_16","(P)   MF-2(A)   Multifamily district 2."
"SEC. 51A-4.101_1_17","(Q)   MF-2(SAH)   Multifamily district 2 affordable."
"SEC. 51A-4.101_1_18","(R)   MF-3(A)   Multifamily district 3."
"SEC. 51A-4.101_1_19","(S)   MF-4(A)   Multifamily district 4."
"SEC. 51A-4.101_1_20","(T)   MH(A)   Manufactured home district."
"SEC. 51A-4.101_2","(2)   Office districts."
"SEC. 51A-4.101_2_1","(A)   NO(A)   Neighborhood  office district."
"SEC. 51A-4.101_2_2","(B)   LO-1   Limited office district 1."
"SEC. 51A-4.101_2_3","(C)   LO-2   Limited office district 2."
"SEC. 51A-4.101_2_4","(D)   LO-3   Limited office district 3."
"SEC. 51A-4.101_2_5","(E)   MO-1      Mid-range office district 1."
"SEC. 51A-4.101_2_6","(F)   MO-2   Mid-range office district 2."
"SEC. 51A-4.101_2_7","(G)   GO(A)   General office district."
"SEC. 51A-4.101_3","(3)   Retail districts."
"SEC. 51A-4.101_3_1","(A)   NS(A)   Neighborhood  service district."
"SEC. 51A-4.101_3_2","(B)   CR   Community  retail district."
"SEC. 51A-4.101_3_3","(C)   RR   Regional retail district."
"SEC. 51A-4.101_4","(4)   Commercial service and industrial districts."
"SEC. 51A-4.101_4_1","(A)   CS   Commercial  service district."
"SEC. 51A-4.101_4_2","(B)   LI   Light  industrial district."
"SEC. 51A-4.101_4_3","(C)   IR   Industrial / research district."
"SEC. 51A-4.101_4_4","(D)   IM   Industrial/  manufacturing district."
"SEC. 51A-4.101_5","(5)   Central area districts."
"SEC. 51A-4.101_5_1","(A)   CA-1(A)   Central area district 1."
"SEC. 51A-4.101_5_2","(B)   CA-2(A)   Central area district 2."
"SEC. 51A-4.101_6","(6)   Mixed use districts."
"SEC. 51A-4.101_6_1","(A)   MU-1   Mixed use district 1."
"SEC. 51A-4.101_6_2","(B)   MU-1(SAH)   Mixed use district 1 affordable."
"SEC. 51A-4.101_6_3","(C)   MU-2   Mixed use district 2."
"SEC. 51A-4.101_6_4","(D)   MU-2(SAH)   Mixed use district 2 affordable."
"SEC. 51A-4.101_6_5","(E)   MU-3   Mixed use district 3."
"SEC. 51A-4.101_6_6","(F)   MU-3(SAH)   Mixed use district 3 affordable."
"SEC. 51A-4.101_7","(7)   Multiple commercial districts."
"SEC. 51A-4.101_7_1","(A)   MC-1   Multiple  commercial district 1."
"SEC. 51A-4.101_7_2","(B)   MC-2   Multiple  commercial district 2."
"SEC. 51A-4.101_7_3","(C)   MC-3   Multiple  commercial district 3."
"SEC. 51A-4.101_7_4","(D)   MC-4   Multiple  commercial district 4."
"SEC. 51A-4.101_8","(8)   Special purpose districts."
"SEC. 51A-4.101_8_1","(A)   C   Conservation district."
"SEC. 51A-4.101_8_2","(B)   PD   Planned development district."
"SEC. 51A-4.101_8_3","(C)   P(A)   Parking district."
"SEC. 51A-4.101_9","(9)   Overlay districts."
"SEC. 51A-4.101_9_1","(A)   AF suffix   Airport flight path overlay district."
"SEC. 51A-4.101_9_2","(B)   CP suffix   Core  pedestrian precinct overlay district."
"SEC. 51A-4.101_9_3","(C)   H suffix   Historic overlay district."
"SEC. 51A-4.101_9_4","(D)   ID suffix   Institutional overlay district."
"SEC. 51A-4.101_9_5","(E)   D suffix   D liquor control overlay district."
"SEC. 51A-4.101_9_6","(F)   D-1 suffix   D-1 liquor control overlay district."
"SEC. 51A-4.101_9_7","(G)   SP suffix   Secondary pedestrian precinct  overlay district."
"SEC. 51A-4.101_9_8","(H)   MD suffix   Modified delta overlay district."
"SEC. 51A-4.101_9_9","(I)   NSO suffix   Neighborhood stabilization overlay district."
"SEC. 51A-4.101_9_10","(J)   TC suffix   Turtle Creek environmental corridor overlay district."
"SEC. 51A-4.101_9_11","(K)   SH suffix   Shopfront overlay. [See Article XIII.]"
"SEC. 51A-4.101_9_12","(L)   HM suffix   Height map overlay. [See Article XIII.]"
"SEC. 51A-4.101_9_13","(M)   PM suffix   Parking management overlay."
"SEC. 51A-4.101_10","(10)   Urban corridor districts."
"SEC. 51A-4.101_10_1","(A)   UC-1   Urban corridor district 1."
"SEC. 51A-4.101_10_2","(B)   UC-2   Urban corridor district 2."
"SEC. 51A-4.101_10_3","(C)   UC-3   Urban corridor district 3."
"SEC. 51A-4.101_11","(11)   Form districts."
"SEC. 51A-4.101_11_1","(A)   WMU   Walkable urban mixed use. [See Article XIII.]"
"SEC. 51A-4.101_11_2","(B)   WR   Walkable urban residential. [See Article XIII.]"
"SEC. 51A-4.101_11_3","(C)   RTN   Residential transition. [See Article XIII.]"
"SEC. 51A-4.101_11_3_1","(Ord. Nos. 19455; 19786; 20360; 21663; 24718; 27404; 27495)"
"SEC. 51A-4.102","RESERVED.  (Ord. 19455)"
"SEC. 51A-4.103","ZONING DISTRICT MAP."
"SEC. 51A-4.103_1","(a)   The boundaries of zoning districts are recorded on the Geographic Information System (GIS) maintained by the department which is the official zoning district map of the city.  The official zoning district map is made a part of and incorporated into this chapter."
"SEC. 51A-4.103_2","(b)   The director shall maintain the zoning district map in the department.  The director shall revise the map to reflect any subsequent zoning district amendment."
"SEC. 51A-4.103_3","(c)   In case of any question involving a district designation within the city, the updated copy of the official zoning district map on file in the office of the director is presumed correct, and the person challenging the accuracy of that copy has the burden of presenting the official zoning map, together with the ordinances amending the map, to prove the inaccuracy of the updated copy.  (Ord. 19455; 20729; 28072)"
"SEC. 51A-4.104","ZONING DISTRICT BOUNDARIES."
"SEC. 51A-4.104_1","(a)   When uncertainty exists as to the boundaries of districts as shown on the official zoning map, the following rules apply:"
"SEC. 51A-4.104_1_1","(1)   Boundaries indicated as approximately following the center lines of streets, highways, or alleys are construed to follow those center lines."
"SEC. 51A-4.104_1_2","(2)   Boundaries indicated as approximately following platted lot lines are construed as following those lot lines."
"SEC. 51A-4.104_1_3","(3)   Boundaries indicated as approximately following city limits are construed as following city limits."
"SEC. 51A-4.104_1_4","(4)   Boundaries indicated as following railroad lines are construed as following the established center line of a railroad right-of-way.  If no center line is established, the boundary is midway between the railroad right-of-way lines."
"SEC. 51A-4.104_1_5","(5)   Boundaries indicated as following shore lines are construed to follow shore lines.  If the shore line changes, the boundaries are construed as moving with the actual shore line."
"SEC. 51A-4.104_1_6","(6)   Boundaries indicated as approximately following the center lines of streams, rivers, canals, lakes, or other bodies of water are construed to follow those center lines.  The center line is interpreted as being midway between the shore lines of the body of water.  If the center line changes, the boundaries are construed as moving with the center line."
"SEC. 51A-4.104_1_7","(7)   Boundaries indicated as parallel to or extensions of the features described in Subsections (a)(1) through (a)(6) are construed as being parallel to or extensions of the features."
"SEC. 51A-4.104_1_8","(8)   Boundaries indicated as dividing a lot or tract are construed to be located as shown on the zoning district map."
"SEC. 51A-4.104_2","(b)   Distances not specifically indicated on a zoning district map are determined by the scale of the map."
"SEC. 51A-4.104_3","(c)   Whenever a street, alley, or other public way is vacated by official action of the city council, the zoning district line adjoining each side of the street, alley, or other public way automatically extends to the center line of the vacated street, alley, or public way."
"SEC. 51A-4.104_4","(d)   When there is a question as to the boundary of a tract and that question cannot be resolved by the application of Subsections (a) through (c), the board of adjustment shall determine the boundary by interpreting the official zoning district map and ordinances amending the map."
"SEC. 51A-4.104_5","(e)   When there is a question as to whether or how a tract is zoned and that question cannot be resolved by the application of this section, the tract is temporarily classified as an agricultural district, and the tract is subject to the same regulations as provided for annexed territory temporarily zoned. (Ord. 19455)"
"SEC. 51A-4.105","INTERPRETATION OF DISTRICT REGULATIONS."
"SEC. 51A-4.105_1","(a)   The following rules apply in interpreting the district regulations:"
"SEC. 51A-4.105_1_1","(1)   The symbol [L] appearing after a listed use means that the use is permitted by right as a limited use only."
"SEC. 51A-4.105_1_2","(2)   The symbol [SUP] appearing after a listed use means that the use is permitted by specific use permit only."
"SEC. 51A-4.105_1_3","(3)   The symbols [L] and [SUP] appearing together after a listed use mean that the use is permitted by right as a limited use; otherwise it is permitted by specific use permit only."
"SEC. 51A-4.105_1_4","(4)   The symbol [DIR] appearing after a listed use means that a site plan must be submitted and approved in accordance with the requirements of Section 51A-4.803.  (“DIR” means “development impact review.”  For more information regarding development impact review generally, see Division 51A-4.800.)"
"SEC. 51A-4.105_1_5","(5)   The symbol [RAR] appearing after a listed use means that, if the use has a residential adjacency as defined in Section 51A-4.803, a site plan must be submitted and approved in accordance with the requirements of that section.  (RAR means residential adjacency review.  For more information regarding residential adjacency review generally, see Division 51A-4.800.)"
"SEC. 51A-4.105_2","(b)   If there is a conflict between the text of the district regulations and the charts or any other graphic display in this chapter, the text of the district regulations controls."
"SEC. 51A-4.105_3","(c)   If there is a conflict between the text of the district regulations and the text of the use regulations (Division 51A-4.100, et seq.), the text of the use regulations controls. (Ord. Nos. 19455; 19786)"
"SEC.","SECS. 51A-4.106 THRU 51A-4.109.   RESERVED."
"SEC. _1","(Ord. 19455)"
"SEC. 51A-4.111","AGRICULTURAL [A(A)] DISTRICT."
"SEC. 51A-4.111_1","(1)   Purpose.  There exists in certain fringe areas of the city, land which is presently used for agricultural purposes and to which urban services are not yet available.  These lands should appropriately continue to be used for agricultural purposes until needed for urban purposes in conformity with the orderly growth of the city.  The uses permitted in the A(A) district are intended to accommodate normal farming, ranching, and gardening activities.  It is anticipated that all of the A(A) district area will be changed to other urban zoning categories as the area within the corporate limits of Dallas becomes fully developed. Newly annexed territory will be temporarily zoned as an A(A) district until permanent zoning is established."
"SEC. 51A-4.111_2","(2)   Main uses permitted."
"SEC. 51A-4.111_2_1","(A)   Agricultural uses."
"SEC. 51A-4.111_2_1_1","--   Animal production."
"SEC. 51A-4.111_2_1_2","--   Commercial stable."
"SEC. 51A-4.111_2_1_3","--   Crop production."
"SEC. 51A-4.111_2_2","(B)   Commercial and business service uses."
"SEC. 51A-4.111_2_2_1","None permitted."
"SEC. 51A-4.111_2_3","(C)   Industrial uses."
"SEC. 51A-4.111_2_3_1","--   Gas drilling and production. [SUP]"
"SEC. 51A-4.111_2_3_2","--   Mining.  [SUP]"
"SEC. 51A-4.111_2_3_3","--   Organic compost recycling facility.  [SUP]"
"SEC. 51A-4.111_2_3_4","--   Temporary concrete or asphalt batching plant."
"SEC. 51A-4.111_2_4","(D)   Institutional and community service uses."
"SEC. 51A-4.111_2_4_1","--   Adult day care facility.  [SUP]"
"SEC. 51A-4.111_2_4_2","--   Cemetery or mausoleum.  [SUP]"
"SEC. 51A-4.111_2_4_3","--   Child-care facility.  [SUP]"
"SEC. 51A-4.111_2_4_4","--   Church."
"SEC. 51A-4.111_2_4_5","--   College,  university  or seminary."
