Structure, Text
"SEC. 51A-5.101","DEFINITIONS AND INTERPRETATIONS APPLICABLE TO THE FLOOD PLAIN REGULATIONS."
"SEC. 51A-5.101_1","(a)   Definitions.  The following definitions are applicable to the flood plain regulations in this article:"
"SEC. 51A-5.101_1_1","(1)   AREA OF SPECIAL FLOOD HAZARD means the land in the flood plain within a community that is subject to a one percent or greater chance of flooding in any given year."
"SEC. 51A-5.101_1_2","(2)   BASEMENT means any area of a building having its floor subgrade, or below ground level, on all sides."
"SEC. 51A-5.101_1_3","(3)   BASE FLOOD means the flood having a one percent chance of being equalled or exceeded in any given year."
"SEC. 51A-5.101_1_3_1","(3.1)   BASE FLOOD ELEVATION means the water surface elevation from a flood having a one percent chance of being equalled or exceeded in any given year, which is shown on the flood insurance rate map (FIRM) and in the accompanying flood insurance study (FIS) for Zones A, AE, AH, A1 - A30, AR, V1-V30, or VE."
"SEC. 51A-5.101_1_4","(4)   DESIGN FLOOD (City’s Design Standard) means the 100-year frequency flood discharge as calculated for fully developed watershed conditions. For the Dallas Floodway Levee System, the design flood is the standard project flood as calculated for the Corridor Development Certificate process."
"SEC. 51A-5.101_1_5","(5)   DEVELOPMENT means any manmade change in improved and unimproved real estate, including but not limited to the construction of buildings or other structures, mining, dredging, filling, grading, paving, excavation, drilling operations, or storage of equipment or materials unless approved by the city on a temporary basis in connection with authorized construction activities."
"SEC. 51A-5.101_1_6","(6)   ENVIRONMENTALLY SIGNIFICANT AREA means an area in the flood plain:"
"SEC. 51A-5.101_1_6_1","(A)   with slopes greater than three to one;"
"SEC. 51A-5.101_1_6_2","(B)   containing endangered species of either flora or fauna;"
"SEC. 51A-5.101_1_6_3","(C)   which is geologically similar to the Escarpment Zone, as defined in Division 51A-5.200, “Escarpment Regulations,” of this article;"
"SEC. 51A-5.101_1_6_4","(D)   identified as wetlands;"
"SEC. 51A-5.101_1_6_5","(E)   determined to be an archeological or historic site; or"
"SEC. 51A-5.101_1_6_6","(F)   containing more than 1,000 square inches of trunk area of protected trees, in the aggregate, within a 10,000 square foot land area. Trunk diameter is measured at a point 12 inches above grade. To be included in the calculation of trunk area, a tree must have a trunk equal to or greater than six inches. For purposes of this subparagraph, a protected tree is defined in Section 51A-10.101 of this chapter."
"SEC. 51A-5.101_1_7","(7)   EXISTING MANUFACTURED HOME PARK means a manufactured home park or subdivision for which the construction of facilities for servicing the lots was completed before March 16, 1983, the effective FIRM date."
"SEC. 51A-5.101_1_8","(8)   FEMA means the Federal Emergency Management Agency, which is the federal agency responsible for administering the National Flood Insurance Program."
"SEC. 51A-5.101_1_9","(9)   FLOOD OR FLOODING means a general and temporary condition of partial or complete inundation of normally dry land areas from the unusual and rapid accumulation or runoff of surface waters from any source."
"SEC. 51A-5.101_1_10","(10)   FLOOD INSURANCE RATE MAP (FIRM) means an official map of a community on which the Federal Emergency Management Agency has delineated the areas of special flood hazards and the insurance risk premium zones applicable to the community."
"SEC. 51A-5.101_1_11","(11)   FLOOD INSURANCE STUDY (FIS) means the official report provided by FEMA containing flood profiles, water surface elevation of the base flood, and the Flood Boundary-Floodway Map."
"SEC. 51A-5.101_1_12","(12)   FLOOD PLAIN (FP) means any land area susceptible to inundation by the design flood."
"SEC. 51A-5.101_1_13","(13)   FLOOD PLAIN ALTERATION means the construction of buildings or other structures, alterations, mining, dredging, filling, grading, or excavation in the flood plain which does not remove an FP designation. (Examples include the construction of a tennis court, a playground, a swimming pool, a fence, a deck, an erosion control wall, or the installation of significant landscaping.)"
"SEC. 51A-5.101_1_14","(14)   FLOOD PLAIN OR FP ADMINISTRATOR means the director of water utilities, who is responsible for administering the federal flood insurance program, or the director's designated representative."
"SEC. 51A-5.101_1_15","(15)   FLOOD PROOFING means any combination of structural and non-structural additions, changes, or adjustments to structures which reduce or eliminate flood damage."
