Structure, Text
"SEC. 51A-6.101","DEFINITIONS APPLICABLE TO THE ENVIRONMENTAL PERFORMANCE STANDARDS."
"SEC. 51A-6.101_1","The following definitions are applicable to the environmental performance standards in this article:"
"SEC. 51A-6.101_1","(1)   A-WEIGHTED SOUND LEVEL means the sound pressure level in decibels as measured on a sound level meter using the A-weighing network.  The level so read is designated dB(A) or dBA."
"SEC. 51A-6.101_2","(2)   BACKGROUND NOISE means noise from all sources other than that under specific consideration including traffic operating on public streets, and is established by measuring the noise level over an eight minute period of time."
"SEC. 51A-6.101_3","(3)   BOUNDING LOT LINE means the far side of any street, alley, stream or other permanently dedicated open space from the stationary source when such open space exists between the lot line of the stationary source and adjacent property.  When no such open space exists the common line between two parcels of property shall be interpreted as the bounding lot line."
"SEC. 51A-6.101_4","(4)   CONSTRUCTION means any phase of the on-site erection, including excavation, demolition, alteration or repair, of any building or structure which is designed to be used on that site."
"SEC. 51A-6.101_5","(5)   DAYTIME means the hours between 7:00 a.m. and 10:00 p.m. on any given day."
"SEC. 51A-6.101_6","(6)   DECIBEL (dB) means a unit for measuring the volume of a sound, equal to 20 times the logarithm to the base 10 of the ratio of the pressure of the sound measured to the reference pressure, which is 20 micropascals (20 Micronewtons per square meter)."
"SEC. 51A-6.101_7","(7)   EQUIVALENT SOUND PRESSURE LEVEL (Leg) means the time weighted, mean square, A- weighted sound pressure level."
"SEC. 51A-6.101_7_1","(7.1)   LEGAL HOLIDAY means New Year's Day (January 1), Memorial Day (observed date), Fourth of July (July 4), Labor Day (observed date), Thanksgiving Day (observed date), and Christmas Day (December 25)."
"SEC. 51A-6.101_8","(8)   MOBILE SOURCE means sound pressure created by motorized vehicles designed to operate on public rights-of-way, including, but not limited to, automobiles and aircraft."
"SEC. 51A-6.101_9","(9)   NOISE means any sound which annoys or disturbs humans or which causes or tends to cause an adverse psychological or physiological effect on humans."
"SEC. 51A-6.101_10","(10)   NOISE DISTURBANCE means any sound which (a) endangers or injures the safety or health of humans or animals, or (b) annoys or disturbs a reasonable person of normal sensitivities, or (c) endangers or injures personal or real property."
"SEC. 51A-6.101_11","(11)   PERMISSIBLE SOUND PRESSURE LEVEL means the equivalent sound pressure level (Leg) averaged over an eight minute period of time."
"SEC. 51A-6.101_12","(12)   PERSON means any individual, association, partnership, or corporation, and includes any officer, employee, department, agency or instrumentality of a state or any political subdivision of a state."
"SEC. 51A-6.101_13","(13)   PROPERTY means all contiguous land and any fixed or moveable object on such land, under common ownership, irrespective of leasehold or other interest."
"SEC. 51A-6.101_14","(14)   Reserved."
"SEC. 51A-6.101_15","(15)   SOUND means the weighted sound pressure level obtained by the use of a sound level meter and frequency weighting network, such as A, B, or C as specified in American National Standards Institute specifications for sound level meters (ANSI S1.4-1971, or the latest approved revision thereof).  If the frequency weighting employed is not indicated, the A-weighting shall apply."
"SEC. 51A-6.101_16","(16)   SOUND LEVEL METER means an instrument which includes a microphone, amplifier, RMS detector, integrator or time averager, output meter, and weighting networks used to measure sound pressure levels."
"SEC. 51A-6.101_17","(17)   SOUND PRESSURE means the instantaneous difference between the actual pressure and the average or barometric pressure at a given point in space, as produced by sound energy."
"SEC. 51A-6.101_18","(18)   SOUND PRESSURE LEVEL means 20 times the logarithm to the base 10 of the ratio of the RMS sound pressure to the reference pressure of 20 micropascals (20 x 10-6 N/m2).  The sound pressure level is denoted Lp or SPL and is expressed in decibels."
"SEC. 51A-6.101_19","(19)   SPECIAL EVENTS means all public and private school related activities and all events where a special events permit is issued by the city of Dallas."
"SEC. 51A-6.101_20","(20)   STATIONARY SOURCE means the point of origin of any noise emitted from a property.  Multiple sources on a property shall be treated as a single source."
"SEC. 51A-6.101_21","(21)   TIME WEIGHTED means an established period of time during which the sound pressure levels are averaged.  (Ord. Nos. 19455; 19995; 21186; 29424)"
"SEC. 51A-6.102","NOISE REGULATIONS."
"SEC. 51A-6.102_1","(a)   General provisions."
"SEC. 51A-6.102_1_1","(1)   A person may not conduct a use that creates a noise level that exceeds the levels established in Subsections (b) through (e) or that exceeds the background level by five dB(A), whichever is greater."
"SEC. 51A-6.102_1_2","(2)   A sound level meter that meets the standards of the American Standards Association must be used to determine whether the level of noise violates this section.  The instrument must be maintained in good working order.  A calibration check should be made prior to and following any noise investigation."
"SEC. 51A-6.102_1_3","(3)   Traffic, aircraft, and other background noises are not considered in measuring noise levels except when the background noise level is being determined."
"SEC. 51A-6.102_1_4","(4)   For purposes of this section, any identifiable portion of a planned development (PD) district governed by a distinct set of use regulations is considered to be a separate zoning district.  If the PD district or a portion of the district is limited to uses permitted in an expressly stated zoning district, the PD district or portion of the district is considered to be that zoning district; otherwise it is considered to be:"
"SEC. 51A-6.102_1_4_1","(A)   an MF-3(A) zoning district if it is restricted to residential uses and those nonresidential uses permitted in a residential district; otherwise"
"SEC. 51A-6.102_1_4_2","(B)   an IM zoning district if it allows one or more uses that are only permitted in that district; otherwise"
"SEC. 51A-6.102_1_4_3","(C)   an IR zoning district if it allows one or more uses that are only permitted in a CS, LI, or IR district; otherwise"
"SEC. 51A-6.102_1_4_4","(D)   if it does not fit into one of the above categories, an MU-3 district."
"SEC. 51A-6.102_1_5","(5)   The requirements of this section do not apply to:"
"SEC. 51A-6.102_1_5_1","(A)   mobile sources;"
"SEC. 51A-6.102_1_5_2","(B)    construction/demolition activities regulated by Chapter 30;"
"SEC. 51A-6.102_1_5_3","(C)   special events for which a special events permit is issued under Chapter 42A;"
"SEC. 51A-6.102_1_5_4","(D)   sound generating equipment or apparatus to warn the public of an emergency or for public safety;"
"SEC. 51A-6.102_1_5_5","(E)   noise from use-related loading/ unloading operations that impact residential areas when conducted during daytime hours; or"
"SEC. 51A-6.102_1_5_6","(F)   the following activities, as long as they are conducted between the hours of 7:00 a.m. and 10:00 p.m., Monday through Friday, and between the hours of 8:00 a.m. and 7:00 p.m. on Saturday, Sunday, and legal holidays as a normal function of a permitted use and the equipment is maintained in proper working condition:"
"SEC. 51A-6.102_1_5_6_1","(i)   Lawn maintenance."
"SEC. 51A-6.102_1_5_6_2","(ii)   Repair of personal use vehicles."
"SEC. 51A-6.102_1_5_6_3","(iii)   Home repair of place of residence."
"SEC. 51A-6.102_2","(b)   Permissible sound pressure level in WR without a shopfront overlay and residential districts."
"SEC. 51A-6.102_2_1","(1)   In a WR without a shopfront overlay or residential district, a person may not conduct a use so as to create a sound pressure level on the bounding lot line that exceeds the decibel limits contained in the following table:"
"SEC. 51A-6.102_2_1_1","Maximum Permissible Daytime Decibel Limits at the Bounding Lot Line of a WR without a Shopfront Overlay or Residential District",
"SEC. 51A-6.102_2_1_1_1","A Scale",
"SEC. 51A-6.102_2_1_1_2","Decibel Limit
(dBA","re","0.0002 Microbar)","56 ",
"SEC. 51A-6.102_3","(c)   Permissible sound pressure level in office, retail, mixed use, multiple commercial, P(A), WR with a shopfront overlay, and WMU districts."
"SEC. 51A-6.102_3_1","(1)   In an office, retail, mixed use, multiple commercial, P(A), WR with a shopfront overlay, or WMU district, a person may not conduct a use so as to create a sound pressure level on the bounding lot line that exceeds the decibel limits contained in the following table:"
"SEC. 51A-6.102_3_1_1","Maximum Permissible Daytime Decibel Limits at the Bounding Lot Line of an Office, Retail, Mixed Use, Multiple Commercial,  P(A), WR with a Shopfront Overlay, or WMU District",
"SEC. 51A-6.102_3_1_1_1","A Scale",
"SEC. 51A-6.102_3_1_1_2","Decibel Limit
(dBA","re","0.0002 Microbar)","63 ",
