Structure, Text
"SEC. 51A-7.101","PURPOSE."
"SEC. 51A-7.101_1","Signs use private land and the sight lines created by the public rights-of-way to inform and persuade the general public by publishing a message.  Except as provided in Section 51A-7.207, this article provides standards for the erection and maintenance of private signs.  All private signs not exempted as provided below shall be erected and maintained in accordance with these standards.  The general objectives of these standards are to promote health, safety, welfare, convenience and enjoyment of the public, and, in part to achieve the following:"
"SEC. 51A-7.101_1","(a)   SAFETY:  To promote the safety of persons and property by providing that signs:"
"SEC. 51A-7.101_1_1","(1)   do not create a hazard due to collapse, fire, collision, decay or abandonment;"
"SEC. 51A-7.101_1_2","(2)   do not obstruct fire fighting or police surveillance; and"
"SEC. 51A-7.101_1_3","(3)   do not create traffic hazards by confusing or distracting motorists, or by impairing the driver’s ability to see pedestrians, obstacles, or other vehicles, or to ready traffic signs."
"SEC. 51A-7.101_2","(b)   COMMUNICATIONS EFFICIENCY:  To promote the efficient transfer of information in sign messages by providing that:"
"SEC. 51A-7.101_2_1","(1)   businesses and services may identify themselves;"
"SEC. 51A-7.101_2_2","(2)   customers and other persons may locate a business or service;"
"SEC. 51A-7.101_2_3","(3)   no person or group is arbitrarily denied the use of the sight lines from the public right-of-way for communication purposes; and"
"SEC. 51A-7.101_2_4","(4)   persons exposed to signs are not so overwhelmed by the number of messages presented that they cannot find the information they seek, and are able to observe or ignore messages, according to the observer’s purpose."
"SEC. 51A-7.101_3","(c)   LANDSCAPE  QUALITY  AND PRESERVATION:  To protect the public welfare and to enhance the appearance and economic value of the landscape, by providing that signs:"
"SEC. 51A-7.101_3_1","(1)   do not interfere with scenic views;"
"SEC. 51A-7.101_3_2","(2)   do not create a nuisance to persons using the public rights-of-way;"
"SEC. 51A-7.101_3_3","(3)   do not constitute a nuisance to occupancy of adjacent and contiguous property by their brightness, size, height, or movement;"
"SEC. 51A-7.101_3_4","(4)   are not detrimental to land or property values; and"
"SEC. 51A-7.101_3_5","(5)   contribute to the special character of particular areas or districts within the city, helping the observer to understand the city and orient himself with it.  (Ord. Nos. 19455; 22061)"
"SEC. 51A-7.102","DEFINITIONS."
"SEC. 51A-7.102_1","Unless the context clearly indicates otherwise, for purposes of this article, the following words and phrases have the meanings respectively ascribed to them by this section:"
"SEC. 51A-7.102_1","(1)   ADVERTISE means to attract, or to attempt to attract, the attention of any person to any business, accommodations, goods, services, property, or commercial activity."
"SEC. 51A-7.102_1_1","(1.1)   ATHLETIC FIELD SIGN means a sign that is designed, intended, or used to inform or advertise to the spectators of an athletic event."
"SEC. 51A-7.102_2","(2)   ATTACHED SIGN means any sign attached to, applied on, or supported by, any part of a building (such as a wall, roof, window, canopy, awning, arcade, or marquee) that encloses or covers usable space."
"SEC. 51A-7.102_3","(3)   BUILDING means a structure which has a roof supported by columns, walls or air for the shelter, support, or enclosure of persons, animals or chattel."
"SEC. 51A-7.102_4","(4)   BUSINESS ZONING DISTRICT means:"
"SEC. 51A-7.102_4_1","(A)   for purposes of interpreting Chapter 51:  any zoning district designated by this chapter as SC, GR, LC, CA-1, CA-2, HC, I-1, I-2, or I-3.  Any PD district is also included in this list, unless specifically excluded by its provisions; and"
"SEC. 51A-7.102_4_2","(B)   for purposes of interpreting Chapter 51A:  any zoning district designated by this chapter as CR, RR, CS, industrial, central area, mixed use, or multiple commercial.  Any PD district is also included in this list, unless specifically excluded by its provisions."
"SEC. 51A-7.102_5","(5)   CHARACTER means any letter of the alphabet or numeral."
"SEC. 51A-7.102_6","(6)   CITY means the city of Dallas, Texas."
"SEC. 51A-7.102_7","(7)   COMMERCIAL MESSAGE means a message placed or caused to be placed before the public by a person or business enterprise directly involved in the manufacture or sale of the products, property, accommodations, services, attractions, or activities or possible substitutes for those things which are the subject of the message and that:"
"SEC. 51A-7.102_7_1","(A)   refers to the offer for sale or existence for sale of products, property, accommodations, services, attractions, or activities; or"
"SEC. 51A-7.102_7_2","(B)   attracts attention to a business or to products, property, accommodations, services, attractions, or activities that are offered or exist for sale or for hire."
"SEC. 51A-7.102_8","(8)   COMMISSION means the city plan commission of the city of Dallas."
"SEC. 51A-7.102_9","(9)   DETACHED SIGN means any sign connected to the ground that is not an attached, portable, or vehicular sign."
"SEC. 51A-7.102_10","(10)   Reserved."
"SEC. 51A-7.102_11","(11)   EFFECTIVE AREA means the following:"
"SEC. 51A-7.102_11_1","(A)   For a detached sign, the area within a minimum imaginary rectangle of vertical and horizontal lines that fully contains all extremities of the sign, excluding its supports.  This rectangle is calculated from an orthographic projection of the sign viewed horizontally.  The viewpoint for this projection that produces the largest rectangle must be used.  If elements of the sign are movable or flexible, such as a flag or a string of lights, the measurement is taken when the elements are fully extended and parallel to the plane of view."
"SEC. 51A-7.102_11_2","(B)   For an attached sign, the sum of the areas within minimum imaginary rectangles of vertical and horizontal lines, each of which fully contains a word.  If a design, outline, illustration, or interior illumination surrounds or attracts attention to a word, then it is included in the calculation of effective area."
"SEC. 51A-7.102_12","(12)   ERECT means to build, attach, hang, place, suspend, fasten, affix, maintain, paint, draw, or otherwise construct."
"SEC. 51A-7.102_12_1","(12.1) ESCARPMENT ZONE means the escarpment zone as defined in Section 51A-5.201."
"SEC. 51A-7.102_13","(13)   EXPRESSWAY means:"
"SEC. 51A-7.102_13_1","(A)   the Dallas North Tollway;"
"SEC. 51A-7.102_13_2","(B)   Interstate Highway 20;"
"SEC. 51A-7.102_13_3","(C)   Interstate Highway 30;"
"SEC. 51A-7.102_13_4","(D)   Interstate Highway 35E;"
"SEC. 51A-7.102_13_5","(E)   Interstate Highway 45;"
"SEC. 51A-7.102_13_6","(F)   Interstate Highway 635;"
"SEC. 51A-7.102_13_7","(G)   U.S. Highway 67;"
"SEC. 51A-7.102_13_8","(H)   U.S. Highway 75;"
"SEC. 51A-7.102_13_9","(I)   U.S. Highway 80 east of Interstate Highway 30 to the city limits;"
"SEC. 51A-7.102_13_10","(J)   U.S. Highway 175;"
"SEC. 51A-7.102_13_11","(K)   State Highway 114;"
"SEC. 51A-7.102_13_12","(L)   State Highway 183;"
"SEC. 51A-7.102_13_13","(M)   Spur 408;"
"SEC. 51A-7.102_13_14","(N)   Walton Walker Boulevard from Spur 408 north to the city limits, and from Stemmons Freeway south to the city limits; and"
"SEC. 51A-7.102_13_15","(O)   Woodall Rodgers Freeway."
"SEC. 51A-7.102_13_15_1","(13.1)   EXPRESSWAY SIGN means a sign that is wholly within 100 feet of an expressway right-of-way and whose message is visible from the main traveled way or that has been relocated adjacent to an expressway pursuant to Section 51A-7.307(f)."
"SEC. 51A-7.102_14","(14)   FACADE means any separate face of a building, including parapet walls and omitted wall lines, or any part of a building which encloses or covers usable space. Where separate faces are oriented in the same direction, or in the directions within 45¡ of one another, they are to be considered as part of a single facade."
"SEC. 51A-7.102_14_1","(14.1)   GEOLOGICALLY SIMILAR AREAS means “geologically similar areas” as defined in Section 51A-5.201."
"SEC. 51A-7.102_15","(15)   GOVERNMENT SIGN means a flag, insignia, legal notice, informational, directional, traffic, or safe school zone sign which is legally required or necessary to the essential functions of government agencies."
"SEC. 51A-7.102_16","(16)   HEIGHT, as applied to a sign, means the vertical distance between the highest part of the sign or its supporting structure, whichever is higher, and a level plane going through the nearest point of the vehicular traffic surface of the adjacent improved public right-of-way, other than an alley. In the event a sign is equidistant from more than one improved public right-of-way, none of which are alleys, the highest point shall be used."
"SEC. 51A-7.102_16_1","(16.1)   HIGHWAY BEAUTIFICATION ACT (HBA) SIGN means a non-premise sign that is within 660 feet of an expressway or new expressway right-of-way and whose message is visible from the main traveled way."
"SEC. 51A-7.102_17","(17)   ILLUMINATED SIGN means any sign that is directly lighted by any electrical light source, internal or external. This definition does not include signs that are illuminated by street lights or other light sources owned by any public agency or light sources that are specifically operated for the purpose of lighting the area in which the sign is located rather than the sign itself."
