Structure, Text
"SEC. 51A-8.101","TITLE."
"SEC. 51A-8.101_1","This article is known as the plat regulations of the city of Dallas.  (Ord. Nos. 20092; 23384)"
"SEC. 51A-8.102","POLICY."
"SEC. 51A-8.102_1","(a)   It is the policy of the city of Dallas to subject the subdivision, platting, replatting, and development of land to the control of the city pursuant to the city charter, state law, and all other rules, regulations, and policies the city may adopt."
"SEC. 51A-8.102_2","(b)   To be platted, land must be of such character that it can be used safely for building purposes without danger to health or peril from fire, flood, or other menace."
"SEC. 51A-8.102_3","(c)   Land must not be platted until proper provision has been made for paving, drainage, water, wastewater, public utilities, capital improvements, parks, recreation facilities, and rights-of-way for streets, transportation facilities, and improvements."
"SEC. 51A-8.102_4","(d)   These regulations supplement and are intended to facilitate the enforcement of the provisions and standards of this code, state law, and all other rules, regulations, and policies which the city may adopt.  (Ord. Nos. 20092; 23384)"
"SEC. 51A-8.103","PURPOSE."
"SEC. 51A-8.103_1","The regulations of this article are established in accordance with the city charter and state law for the purposes stated in Section 51A-1.102 of this chapter and in order to:"
"SEC. 51A-8.103_1","(a)   protect and provide for the public health, safety, and general welfare of the city;"
"SEC. 51A-8.103_2","(b)   guide the future growth and development of the city;"
"SEC. 51A-8.103_3","(c)   guide public policy and action in order to provide adequate and efficient transportation, streets,  storm drainage, water, wastewater, parks, and open space facilities;"
"SEC. 51A-8.103_4","(d)   provide for the proper location and width of streets and building lines;"
"SEC. 51A-8.103_5","(e)   establish reasonable standards of design and procedures for platting in order to promote the orderly layout and use of land, and to insure proper legal descriptions and monumenting of platted land;"
"SEC. 51A-8.103_6","(f)   insure that public infrastructure facilities  required by city ordinance are available with sufficient capacity to serve the proposed plat before issuance of a certificate of occupancy or release of utility connections or final inspection within the boundaries of the plat;"
"SEC. 51A-8.103_7","(g)   provide that the cost of public infrastructure improvements that primarily benefit the tract of land being platted be borne by the owners of the tract in accordance with applicable laws; and"
"SEC. 51A-8.103_8","(h)   prevent the pollution of air, streams, and ponds by assuring the adequacy of drainage facilities and by safeguarding the escarpment, flood plains, and the water table.  (Ord. Nos. 20092; 21186; 23384)"
"SEC. 51A-8.104","FUNCTION OF COMMISSION."
"SEC. 51A-8.104_1","(a)   Except administrative plats, the commission shall approve or disapprove plats, subdivisions, and replats of land within the corporate limits and extraterritorial jurisdiction of the city.  If a plat conforms to this article, the state law, and all other rules and regulations pertaining to the platting of land, the commission shall endorse its approval upon the plat."
"SEC. 51A-8.104_2","(b)   The rules and regulations of the commission must provide for a subdivision review committee for the purpose of reviewing appeals of conditions recommended by the city staff, refusal to approve an administrative plat by the subdivision administrator, and appeals from the subdivision administrator regarding satisfaction of preliminary plat conditions.  (Ord. Nos. 20092; 23384; 26529)"
"SEC. 51A-8.105","JURISDICTION."
"SEC. 51A-8.105_1","This article applies to all plats, as defined in Division 51A-8.200, located within the corporate limits, and within the extraterritorial jurisdiction of the city to the full extent allowed by state law.  (Ord. Nos. 20092; 23384)"
"SEC. 51A-8.201","DEFINITIONS."
"SEC. 51A-8.201_1","The following definitions apply to this article:"
"SEC. 51A-8.201_1","(1)   ABANDONMENT means the legal process by which property rights in land dedicated to public use may be terminated."
"SEC. 51A-8.201_2","(2)   ACCELERATION/DECELERATION LANE means a lane added to the side of a street to facilitate ingress to and egress from adjacent property and to help maintain traffic flow in the travel lanes of the street."
"SEC. 51A-8.201_3","(3)   ACCESS WAY means an area on private property used by vehicular traffic for access to and from streets."
"SEC. 51A-8.201_4","(4)   ACCESS WIDTH means the minimum lot frontage necessary to accommodate a driveway and its return."
"SEC. 51A-8.201_5","(5)   ACRE includes fraction of an acre."
"SEC. 51A-8.201_5_1","(5.1)   ADMINISTRATIVE PLAT means an amending plat (minor), a certificate of correction, or a minor plat involving four or fewer lots, that satisfies the requirements of Section 51A-8.403(c)."
"SEC. 51A-8.201_6","(6)   ALL WEATHER ACCESS means access paved with a cohesive paving material that holds its form when subjected to vehicular traffic and the normal variation of weather conditions experienced in the city of Dallas."
"SEC. 51A-8.201_7","(7)   AMENDING PLAT (MAJOR) means a plat changing a previously approved and recorded plat in accordance with Texas Local Government Code Section 212.016 that may increase or decrease the number of lots."
"SEC. 51A-8.201_8","(8) AMENDING PLAT (MINOR) means a plat changing a previously approved and recorded plat in accordance with Texas Local Government Code Section 212.016 that does not increase or decrease the number of lots."
"SEC. 51A-8.201_9","(9)   BARRIER-FREE SIDEWALK means a sidewalk designed using ramps, curb transitions, and additional sidewalk width to facilitate use by persons in wheel chairs."
"SEC. 51A-8.201_10","(10) CERTIFICATE OF CORRECTION means an amending plat (minor) in the form of a document used to make a correction to a recorded plat in cases where a sketch is not needed for clarity, as determined by the subdivision administrator."
"SEC. 51A-8.201_11","(11)   COMMISSION means the city plan commission of the city of Dallas."
"SEC. 51A-8.201_12","(12)   CONDITIONS OF APPROVAL mean conditions imposed on a plat by the commission that must be satisfied before the subdivision administrator may submit a plat for endorsement by the commission chair."
"SEC. 51A-8.201_13","(13)   CORNER CLIP means an area consisting of the triangular extension of street right-of-way at intersections of streets.  This area is used for curb returns, utilities, barrier-free ramps, and other public facilities."
"SEC. 51A-8.201_14","(14)   COVENANT means an agreement in writing that touches and concerns real property platted or developed under this chapter, executed as required by law, in which a party pledges that  something shall be done or shall not be done.  A covenant is binding on successors in title to the real property that is the subject of the covenant."
"SEC. 51A-8.201_15","(15)   CUL-DE-SAC means an area of circular pavement constructed at the end of a dead-end street to facilitate vehicular access and turnaround."
"SEC. 51A-8.201_16","(16)   DEAD-END STREET OR ALLEY means a street or alley having right-of-way or pavement that terminates abruptly at one end without intersecting another street."
"SEC. 51A-8.201_17","(17)   DETENTION AREA means an area which temporarily stores stormwater runoff and discharges that runoff at a reduced rate."
"SEC. 51A-8.201_18","(18)   DEVELOPER means the owner of the property or the person authorized by the owner to develop the property."
"SEC. 51A-8.201_19","(19)   DIVIDED THOROUGHFARE means a street on the thoroughfare plan with travel lanes divided by a median."
