Structure, Text
"SEC. 51A-10.101","DEFINITIONS."
"SEC. 51A-10.101_1","In this article:"
"SEC. 51A-10.101_1","(1)   AGE CLASS means a distinct group of trees originating from a single natural event or regeneration activity (i.e., a 10-year age class), as used in inventory management."
"SEC. 51A-10.101_2","(2)   ANSI A300 means the American National Standard for Tree Care Operations, including all parts, as amended."
"SEC. 51A-10.101_3","(3)   APPROVED TREE LIST means the list of replacement and landscape trees approved by the director."
"SEC. 51A-10.101_4","(4)   ARTIFICIAL LOT means an area within the building site that is delineated by the building official or the director of park and recreation for the sole purpose of satisfying the requirements of this article (see Section 51A-10.122)."
"SEC. 51A-10.101_5","(5)   BOUNDARY TREE means:"
"SEC. 51A-10.101_5_1","(A)   a tree growing on a property boundary line between two private lots resulting in joint ownership by the adjacent property owners when the trunk exists on each property; or"
"SEC. 51A-10.101_5_2","(B)   a tree that has 20 percent or more of its tree canopy cover extending over a property line into an adjacent building site."
"SEC. 51A-10.101_6","(6)   BROWNFIELD means a building site, the expansion, redevelopment, or reuse of which may be complicated by the presence or potential presence of a hazardous substance, pollutant, or contaminant."
"SEC. 51A-10.101_7","(7)   CALIPER means the thickness of a tree trunk measured in inches."
"SEC. 51A-10.101_8","(8)   CANOPY TREE means a species of tree that normally bears crown foliage no lower than six feet above ground level upon maturity."
"SEC. 51A-10.101_9","(9)   CLASS 1 TREE means a tree located in a primary natural area or a geologically similar area within 50 feet above the escarpment zone."
"SEC. 51A-10.101_10","(10)   CLASS 2 TREE means a tree that is not otherwise classified as a Class 1 tree or Class 3 tree."
"SEC. 51A-10.101_11","(11)   CLASS 3 TREE means Arizona ash, black willow, cottonwood, hackberry, honeylocust, mesquite, mimosa, mulberry, ornamentals, pinus spp., Siberian elm, silver maple, sugarberry, or a small tree."
"SEC. 51A-10.101_12","(12)   CLEARING means any activity that removes or seriously injures one or more trees or the vegetative ground cover of one or more trees, such as root mat removal or topsoil removal."
"SEC. 51A-10.101_13","(13)   COVERED SOIL AREA means an area of soil that is under nonpermeable pavement and is designed to accommodate tree root growth."
"SEC. 51A-10.101_14","(14)   CRITICAL ROOT ZONE means the circular area of ground surrounding a tree extending a distance of one foot per diameter inch of the tree, measured from the tree trunk or stem."
"SEC. 51A-10.101_15","(15)   DEVELOPMENT IMPACT AREA means the area of land or vegetation alteration within a property including, but not limited to, clearing, grading, excavating, filling, and any construction site operations, paving, or any other installation."
"SEC. 51A-10.101_16","(16)   DIAMETER means the thickness of a tree trunk."
"SEC. 51A-10.101_17","(17)   DRIP LINE means a vertical line that runs from the outermost point of the crown of a tree to the ground."
"SEC. 51A-10.101_18","(18)   ENHANCED PAVEMENT means any permeable or nonpermeable decorative pavement material intended for pedestrian or vehicular use approved by the director.  Examples of enhanced pavement include, but are not limited to, brick or stone pavers, grass paver, exposed aggregate concrete, and stamped and stained concrete."
