Structure, Text
"SEC. 51A-11.101","PURPOSE AND AUTHORITY."
"SEC. 51A-11.101_1","(a)   Purpose."
"SEC. 51A-11.101_1_1","(1)   The purpose of this article is to encourage economic development through the revitalization and preservation of the city’s historic properties, including residential properties, and to assist in accomplishing the following goals:"
"SEC. 51A-11.101_1_1_1","(A)   Revitalize older neighborhoods to build and capture a stable tax base."
"SEC. 51A-11.101_1_1_2","(B)   Support private sector investment in historic properties."
"SEC. 51A-11.101_1_1_3","(C)   Encourage home ownership."
"SEC. 51A-11.101_1_1_4","(D)   Promote pedestrian oriented, ground floor retail in the urban historic districts."
"SEC. 51A-11.101_1_1_5","(E)   Support new uses for vacant and deteriorated historic buildings."
"SEC. 51A-11.101_1_1_6","(F)   Encourage low and moderate income families to invest in historic districts."
"SEC. 51A-11.101_1_2","(2)   In order to further the purpose of this division, the director shall:"
"SEC. 51A-11.101_1_2_1","(A)   provide education and assistance to owners of historic properties;"
"SEC. 51A-11.101_1_2_2","(B)   coordinate activities with other departments to publicize the incentives in this article;"
"SEC. 51A-11.101_1_2_3","(C)   coordinate with existing programs in other departments; and"
"SEC. 51A-11.101_1_2_4","(D)   seek funding from outside sources to assist low and moderate income home-owners in rehabilitating and maintaining owner-occupied historic properties."
"SEC. 51A-11.101_2","(b)   Authority for tax exemptions.  The tax exemptions in this article are adopted pursuant to the authority provided in Article 8, Section 1-f of the Texas Constitution and Section 11.24 of the Texas Tax Code."
"SEC. 51A-11.101_2_1","(1)   These tax exemptions apply only to city property taxes and not to taxes owing to other taxing units."
"SEC. 51A-11.101_2_2","(2)   Nothing in this article relieves a person from the responsibility to apply each year to the appraisal district for a tax exemption pursuant to the requirements of the Texas Tax Code."
"SEC. 51A-11.101_3","(c)   Authority for conservation easements.  The historic conservation easement program in this article is adopted pursuant to the authority provided in Chapter 183 of the Texas Natural Resources Code.  (Ord. Nos. 21874; 22026; 22392; 23506; 24584; 25509; 27016)"
"SEC. 51A-11.102","DEFINITIONS."
"SEC. 51A-11.102_1","The following definitions apply to this article:"
"SEC. 51A-11.102_1","(1)   APPRAISAL DISTRICT means the Dallas Central Appraisal District or its successor."
"SEC. 51A-11.102_2","(2)   CERTIFICATE OF APPROPRIATENESS means a certificate of appropriateness required by Section 51A-4.501 or by a historic overlay district ordinance."
"SEC. 51A-11.102_3","(3)   COMMITMENT TO REPAY means a legal instrument requiring the owner granted a tax exemption or historic conservation easement to repay to the city all tax forgone upon a finding that the historic property has been totally or partially destroyed or significantly altered by the willful act or negligence of the owner or his agent in violation of the historic district ordinance.  See Section 51A-11.203."
"SEC. 51A-11.102_4","(4)   CONTRIBUTING STRUCTURE means a structure that retains its essential architectural integrity of design and whose architectural style is typical of or integral to a historic district."
"SEC. 51A-11.102_4_1","(4.1)   ENDANGERED HISTORIC DISTRICT means a historic district that is in danger of being irreplaceably lost from severe deterioration or damage or impending demolition of structures, where additional resources beyond the scope of this article are needed, and includes the following historic districts:"
"SEC. 51A-11.102_4_1_1","(A)   Tenth Street, and"
"SEC. 51A-11.102_4_1_2","(B)   Wheatley Place."
"SEC. 51A-11.102_5","(5)   HISTORIC DISTRICT means a historic overlay district created pursuant to the Dallas Development Code."
"SEC. 51A-11.102_6","(6)   HISTORIC PROPERTY means a contributing structure and the land necessary for access to and use of the structure within a historic district."
"SEC. 51A-11.102_7","(7)   MINIMUM EXPENDITURE means the amount that must be spent on rehabilitation to make a property owner eligible for a tax exemption in this article."
"SEC. 51A-11.102_8","(8)   PREDESIGNATION CERTIFICATE OF APPROPRIATENESS means a predesignation certificate of appropriateness issued pursuant to Section 51A-4.501 of this chapter."
"SEC. 51A-11.102_9","(9)   PRE-REHABILITATION VALUE means:"
"SEC. 51A-11.102_9_1","(A)   for a historic property that was previously exempt from taxation because of ownership by a tax exempt entity, but that has been purchased by a new owner who is subject to taxation within three years before the new owner submits an application for a tax exemption, the appraised value of the property on the city's certified appraisal roll prepared by the appraisal district as of December 31 of the year before the purchase by the new owner; or"
"SEC. 51A-11.102_9_2","(B)   for all other historic properties, the appraised value of the property on the city's certified appraisal roll prepared by the appraisal district as of December 31 of the year before an application is submitted for a tax exemption."
"SEC. 51A-11.102_9_3","(C)   If, while a property is eligible for a tax exemption, the appraisal district reappraises the historic property and the value is reduced, the pre-rehabilitation value equals the value after reappraisal for the remaining duration of the tax exemption."
"SEC. 51A-11.102_10","(10)   PROPERTY PENDING DESIGNATION means property for which the procedure has been initiated to establish a historic overlay district pursuant to Section 51A-4.501."
"SEC. 51A-11.102_11","(11)   REHABILITATION means labor and materials for interior or exterior repair or replacement of features that help preserve a historic property and become a permanent part of the building or site, such as cabinetry, cable and electrical wiring, carpentry, facilities for required parking, fixtures, flooring, foundation, paint, paving connecting the building to right-of-way, plumbing, roofing, and walls."
"SEC. 51A-11.102_12","(12)   REHABILITATION PROJECT means specific rehabilitation that meets the minimum expenditure for a tax exemption pursuant to this article."
"SEC. 51A-11.102_13","(13)   REVITALIZING HISTORIC DISTRICTS means the following historic districts:"
"SEC. 51A-11.102_13_1","(A)   Lake Cliff,"
"SEC. 51A-11.102_13_2","(B)   Winnetka Heights,"
"SEC. 51A-11.102_13_3","(C)   South Boulevard/Park Row,"
"SEC. 51A-11.102_13_4","(D)   Peak's Suburban Addition,"
"SEC. 51A-11.102_13_5","(E)   Junius Heights, and"
"SEC. 51A-11.102_13_6","(F)   any other historic district designated as a revitalizing historic district in an ordinance creating or amending the historic district."
"SEC. 51A-11.102_14","(14)   TAX FORGONE means the total amount of taxes that the city did not collect as a result of:"
"SEC. 51A-11.102_14_1","(A)   all tax exemptions granted under this article; or"
"SEC. 51A-11.102_14_2","(B)   a decrease in appraised value due to a historic conservation easement."
"SEC. 51A-11.102_15","(15)   URBAN HISTORIC DISTRICTS means historic districts in the area bounded by Carroll Avenue, Columbia Avenue, Munger Boulevard, Barry Avenue, Haskell Avenue, Hatcher Street, Lamar Street, S.F. Railroad, Clarendon Drive, Rosemont Avenue, Rainier Street, N. Edgefield Avenue, Colorado Boulevard, Beckley Avenue, Continental Viaduct, Woodall Rodgers Freeway, and Ross Avenue, including lots fronting on these streets, but excluding the endangered and revitalizing historic districts."
"SEC. 51A-11.102_16","(16)   VERIFICATION means issuance of a letter of verification by the director pursuant to this article.  (Ord. Nos. 21874; 22026; 22392; 23506; 24163; 24584; 25509; 26335; 27016; 29953)"
"SEC. 51A-11.201","INITIAL APPLICATION, COMPLETION OF REHABILITATION, AND FINAL APPLICATION ARE ALL REQUIRED FOR TAX EXEMPTION."
"SEC. 51A-11.201_1","(a)   Initial application for a tax exemption.  An initial application for a tax exemption must be filed with the director. Application may be made for a tax exemption for historic property or property pending designation. Each application must be signed by the owner, be acknowledged before a notary public, and include the following information:"
"SEC. 51A-11.201_1_1","(1)   The legal description of the property."
"SEC. 51A-11.201_1_2","(2)   Photographs and drawings of the property before rehabilitation, including all protected facades and any other area where rehabilitation will be performed."
"SEC. 51A-11.201_1_3","(3)   Estimates of the costs for the rehabilitation project, and any other rehabilitation anticipated during the term of the tax exemption as necessary to calculate the projected tax foregone."
"SEC. 51A-11.201_1_4","(4)   Details about the property including: total square footage of the building and a breakdown of square footage for residential, office, and retail uses; number of residential units created; and an estimate of the number of temporary and permanent jobs that will be created as a result of the tax exemption. This information is required for tax exemptions in the urban historic districts only."
"SEC. 51A-11.201_1_5","(5)   A projection of the construction time and completion date of the rehabilitation project."
"SEC. 51A-11.201_1_6","(6)   A complete application for any necessary certificate of appropriateness or predesignation certificate of appropriateness for the rehabilitation project."
"SEC. 51A-11.201_1_7","(7)   The proposed use of the property."
"SEC. 51A-11.201_1_8","(8)   An authorization for the members of the landmark commission and city officials to visit and inspect the property as necessary to certify eligibility and verification for a tax exemption."
"SEC. 51A-11.201_1_9","(9)   Documentation showing that the building is a contributing structure."
"SEC. 51A-11.201_1_10","(10)   The duration and amount of tax foregone of any previous property tax relief granted to any portion of the property pursuant to this article or any other ordinance adopted pursuant to Section 11.24 of the Texas Tax Code."
"SEC. 51A-11.201_1_11","(11)   Any other information that is necessary to the city in determining eligibility, including but not limited to information showing compliance with all applicable city health and safety regulations."
"SEC. 51A-11.201_2","(b)   Determination of eligibility."
"SEC. 51A-11.201_2_1","(1)   If the historic property is in a reinvestment zone (also known as a TIF) designated under Chapter 311 of the Texas Tax Code, the director shall determine whether a tax exemption authorized under Section 11.24 of the Texas Tax Code is prohibited, either under state law or under the terms of any bonds issued for the reinvestment zone. If the tax exemption is prohibited, the director shall notify the applicant and the city shall not process the application."
"SEC. 51A-11.201_2_2","(2)   Upon receipt of a complete application for a tax exemption, the director shall schedule a hearing before the landmark commission to determine whether the property is eligible for a tax exemption."
"SEC. 51A-11.201_2_3","(3)   No task force review is required for determination of eligibility."
"SEC. 51A-11.201_3","(c)   Criteria for eligibility.  If a property is determined to be eligible, the property is deemed to be a historically or archeologically significant site in need of tax relief to encourage its preservation. The landmark commission shall determine that the property is eligible only if the application satisfies the following requirements:"
"SEC. 51A-11.201_3_1","(1)   The building must be a contributing or potentially contributing structure within a historic district or proposed as a contributing structure for properties pending historic designation."
"SEC. 51A-11.201_3_2","(2)   The proposed cost of the rehabilitation project must exceed the percentage of pre-rehabilitation value of the contributing structure specified in the applicable section of this article, if rehabilitation is required for the exemption. Only rehabilitation done after a determination of eligibility may be counted in determining whether the proposed rehabilitation project exceeds the specified percentage of pre-rehabilitation value, except that the landmark commission may, after a public hearing, make a specific finding approving rehabilitation done prior to the determination of eligibility if the rehabilitation was done within the last three years and will further the purpose of this article. Only rehabilitation may be counted in determining whether the proposed rehabilitation project exceeds the specified percentage of pre-rehabilitation value; other work will not be counted."
"SEC. 51A-11.201_4","(d)   Notice and appeal of decision."
"SEC. 51A-11.201_4_1","(1)   Notice of decision.  The director shall notify the applicant in writing of the landmark commission’s decision on eligibility. If the landmark commission determines that the applicant is not eligible for a tax exemption, the director shall notify the applicant of the reason for that determination. Notice is given by depositing the notice properly addressed and postage paid in the United States mail. The notice must be sent to the address shown on the application."
