Structure, Text
"SEC. 51A-12.101","PURPOSE."
"SEC. 51A-12.101_1","These regulations are intended to protect the public health, safety, and welfare; minimize the impact of gas drilling and production on surrounding property owners and mineral-rights owners; protect the environment; and encourage the safe and orderly production of mineral resources.  (Ord. Nos. 26920; 29228)"
"SEC. 51A-12.102","DEFINITIONS."
"SEC. 51A-12.102_1","(a)   In this article, technical terms that are not defined have the meaning customarily attributed to them in the gas drilling and production industry by prudent and reasonable operators."
"SEC. 51A-12.102_2","(b)   In this article:"
"SEC. 51A-12.102_2_1","(1)   ABANDONMENT means the discontinuation of a well or an operation site as approved by the Texas Railroad Commission and in compliance with this article."
"SEC. 51A-12.102_2_2","(2)   AMBIENT NOISE LEVEL means the all-encompassing noise level associated with a given environment, being a composite of sounds from all sources at the location, constituting the normal or existing level of environmental noise at a given location."
"SEC. 51A-12.102_2_3","(3)   BASE FLOOD means the flood having a one percent chance of being equalled or exceeded in any given year. See Article V."
"SEC. 51A-12.102_2_4","(4)   BLOWOUT PREVENTER means a mechanical, hydraulic, pneumatic, or other device or combination of devices secured to the top of a well casing, including valves, fittings, and control mechanisms, that can be used to completely close the top of the casing and prevent the uncontrolled flow of gas or other fluids from the well."
"SEC. 51A-12.102_2_5","(5)   COMPLETION means the date that drilling or reworking of the well has ended and gas is flowing to a sales or distribution point."
"SEC. 51A-12.102_2_6","(6)   CLOSED-LOOP SYSTEM means a system that uses sealed tanks, instead of reserve pits, to collect the drilling waste."
"SEC. 51A-12.102_2_7","(7)   DAYTIME HOURS means 7:00 am to 7:00 pm, Monday through Friday, and 8:00 am to 6:00 pm, Saturdays.  Sundays and city holidays are not considered daytime hours."
"SEC. 51A-12.102_2_8","(8)   DRILLING means digging or boring a new well to explore for or produce gas."
"SEC. 51A-12.102_2_9","(9)   EQUIPMENT means any apparatus, machinery, or parts thereof used, erected, or maintained in connection with gas drilling or production."
"SEC. 51A-12.102_2_10","(10)   FRACTURING means the injecting of water into a well to cause pressure that will open up fractures already present in the formation."
"SEC. 51A-12.102_2_11","(11)   FLOWBACK means the process of flowing a fractured or completed well to recover water and residual sand from the gas stream before sending gas down a sales line."
"SEC. 51A-12.102_2_12","(12)   GAS means (1) any fluid, either combustible or noncombustible, that is produced in a natural state from the earth and that maintains a gaseous or rarefied state at standard temperature and pressure conditions or (2) any gaseous vapors derived from petroleum or natural gas."
"SEC. 51A-12.102_2_13","(13)   GAS INSPECTOR means the person designated by the city to enforce the provisions of this article, or the gas inspector’s representative."
"SEC. 51A-12.102_2_14","(14)   LANDFARMING means the depositing, spreading, or mixing of drill cuttings, drilling fluids, drilling mud, salt water, produced water, or other waste generated by the gas drilling and production process onto the ground."
"SEC. 51A-12.102_2_15","(15)   OPERATION SITE means the area identified in the SUP to be used for drilling, production, and all associated operational activities after gas drilling is complete."
"SEC. 51A-12.102_2_16","(16)   OPERATOR means the person listed on the Texas Railroad Commission drilling permit application (currently called Form W-1 or Form P-4)."
"SEC. 51A-12.102_2_17","(17)   PIPELINE CONSTRUCTION means the initiation of any excavation or other disturbance of property to install, construct, maintain, repair, replace, modify, or remove a pipeline."
"SEC. 51A-12.102_2_18","(18)   PIPELINE EMERGENCY means an incident relating to or directly attributable to the operation of a regulated pipeline in which any of the following has or is occurring:"
"SEC. 51A-12.102_2_18_1","(A)   Fire or explosion not intentionally initiated by the pipeline operator as part of its normal and customary operations and in accordance with accepted safety practices."
"SEC. 51A-12.102_2_18_2","(B)   Release of a gas, hazardous liquid, or chemical that could adversely impact the environment or health of individuals, livestock, domestic animals, or wildlife in the city."
"SEC. 51A-12.102_2_18_3","(C)   Death of any person or individual."
"SEC. 51A-12.102_2_18_4","(D)   Bodily harm to any person that results in loss of consciousness, the need to assist a person from the scene of the incident, or the necessity of medical treatment in excess of first aid."
"SEC. 51A-12.102_2_18_5","(E)   Damage to private or public property not owned by the pipeline operator in excess of $5,000 in combined values, as determined by the gas inspector."
"SEC. 51A-12.102_2_18_6","(F)   The rerouting of traffic or the evacuation of buildings."
"SEC. 51A-12.102_2_19","(19)   PIPELINE OPERATOR means any person owning, operating, or responsible for operating a pipeline."
"SEC. 51A-12.102_2_20","(20)   PRODUCTION means the period between completion and abandonment of a well."
"SEC. 51A-12.102_2_21","(21)   REGULATED PIPELINE means all parts of those physical facilities for the transportation of gas, oil, or hydrocarbons, including pipes, valves, and other appurtenances attached to pipe, whether laid in public or private easements, public rights-of-way, or private streets within the city, including gathering lines, production lines, and transmission lines. Pipelines associated with franchised utilities are not regulated pipelines."
"SEC. 51A-12.102_2_22","(22)   REWORKING means the re-entry of an existing well after completion to access the existing bore hold, conduct deepening or sidetrack operations, or replace well liners or casings. Reworking is also known in the gas drilling and production industry as a work-over."
"SEC. 51A-12.102_2_23","(23)   TANK means a container used for holding or storing fluids from gas drilling and production."
"SEC. 51A-12.102_2_24","(24)   WELL means a hole or bore to any horizon, formation, or strata for the intended or actual production of gas.  (Ord. Nos. 26920; 29228)"
"SEC. 51A-12.103","ADMINISTRATION."
"SEC. 51A-12.103_1","(a)   Gas inspector."
"SEC. 51A-12.103_1_1","(1)    The gas inspector is responsible for enforcing this article, other city codes applicable to gas drilling and production, and any SUP for gas drilling and production."
"SEC. 51A-12.103_1_2","(2)    The gas inspector shall:"
"SEC. 51A-12.103_1_2_1","(A)    review and approve or deny all seismic survey, gas well, and regulated pipeline permit applications;"
"SEC. 51A-12.103_1_2_2","(B)    conduct inspections of all wells and operation sites at least yearly for compliance with this article, the gas well permit, and the SUP for gas drilling and production;"
"SEC. 51A-12.103_1_2_3","(C)    request, receive, review, and inspect any records, including records the operator sends to the Texas Railroad Commission, logs, and reports relating to the status or condition of any permitted well;"
"SEC. 51A-12.103_1_2_4","(D)   issue orders or citations to obtain compliance with this article, a seismic survey, gas well, or regulated pipeline permit, and the SUP for gas drilling and production; and"
"SEC. 51A-12.103_1_2_5","(E)   revoke or suspend seismic survey, gas well, or regulated pipeline permits for violations of this article, the seismic survey, gas well, or regulated pipeline permit, or SUP for gas drilling and production."
"SEC. 51A-12.103_1_3","(3)   The gas inspector, at each inspection, shall call the emergency contact numbers listed on the operator’s informational signs to verify that the phone numbers are current and the emergency contact persons can be reached."
"SEC. 51A-12.103_1_4","(4)   The gas inspector shall contact the appropriate city department to inspect the operation site if the gas inspector believes the operator is violating a city code provision not addressed in this article. The gas inspector shall determine whether the other city department completed the inspection and shall document what actions, if any, were taken against the operator."
"SEC. 51A-12.103_1_5","(5)   The gas inspector shall contact the appropriate state agency to inspect the operation site if the gas inspector believes the operator is violating state law. The gas inspector shall determine whether the state agency completed the inspection and shall document what actions, if any, were taken against the operator."
"SEC. 51A-12.103_2","(b)   Technical or legal advisors. The city may hire technical or legal advisors to advise the city on gas drilling and production matters. If the city hires advisors to address an operator’s unique circumstances, the city shall notify the operator of the estimated cost of services. The city shall invoice the operator, who shall pay the city within 30 days of receipt of an invoice from the city.  (Ord. Nos. 26920; 29228)"
"SEC. 51A-12.104","SUP REQUIREMENT AND USE REGULATIONS."
"SEC. 51A-12.104_1","See Sections 51-4.213(19) or 51A-4.203(b)(3.2).  (Ord. Nos. 26920; 29228)"
"SEC. 51A-12.201","SEISMIC SURVEY PERMIT."
"SEC. 51A-12.201_1","(a)   In general."
"SEC. 51A-12.201_1_1","(1)   No person shall participate in site preparation or any other seismic survey activities without first obtaining a seismic survey permit issued by the city in accordance with this division."
"SEC. 51A-12.201_1_2","(2)   Seismic surveys may only be conducted with low-impact vibrator systems designed for urban operations. Explosive charges, including dynamite, may not be used in preparing for or conducting a seismic survey."
"SEC. 51A-12.201_1_3","(3)   Seismic surveying is limited to the hours of 8:00 am to 5:00 pm, Monday through Friday, excluding city holidays."
"SEC. 51A-12.201_1_4","(4)   Seismic survey activities must be conducted in accordance with all applicable federal and state laws and regulations, and with all ordinances, rules, and regulations of the city."
"SEC. 51A-12.201_1_5","(5)   Seismic survey activities within public rights-of-way must be conducted in in accordance with a traffic control plan approved by the director of the department of transportation."
"SEC. 51A-12.201_2","(b)   Seismic survey permit.  A seismic survey permit application must be in writing, signed by the operator or applicant, and submitted to the gas inspector.  The operator or applicant shall provide the following information on a form furnished by the city:"
"SEC. 51A-12.201_2_1","(1)   the date the operator or applicant submitted the application;"
"SEC. 51A-12.201_2_2","(2)   the operator or applicant’s name, address, telephone number, and email address;"
"SEC. 51A-12.201_2_3","(3)   the location of the seismic survey;"
"SEC. 51A-12.201_2_4","(4)   the date and time the seismic survey will be conducted;"
"SEC. 51A-12.201_2_5","(5)   a detailed explanation of the seismic survey methods to be used;"
"SEC. 51A-12.201_2_6","(6)   a detailed map of the area being surveyed and the location of all vibration and geophone points;"
"SEC. 51A-12.201_2_7","(7)   the date and time the seismic survey will be completed; and"
"SEC. 51A-12.201_2_8","(8)   for city property and public rights-of-ways:"
"SEC. 51A-12.201_2_8_1","(A)   an executed access agreement for the use of the specific public rights-of-way or city property; and"
"SEC. 51A-12.201_2_8_2","(B)   a current certificate of insurance for the coverage specified in the access agreement."
"SEC. 51A-12.201_3","(c)   Review of permit applications."
"SEC. 51A-12.201_3_1","(1)   The gas inspector shall return incomplete applications to the operator or applicant with a written explanation of the deficiencies."
"SEC. 51A-12.201_3_2","(2)   The gas inspector shall determine whether the seismic survey permit should be issued, issued with conditions, or denied within 45 days after receiving a complete seismic survey permit application. If the gas inspector fails to make this determination within this specified time, the seismic survey permit is deemed denied."
"SEC. 51A-12.201_3_3","(3)   The gas inspector shall issue a seismic survey permit if the application meets the requirements of this division. If the application does not meet the requirements of this division, the gas inspector shall either deny the application or issue the seismic survey permit subject to written conditions if compliance with the conditions eliminates the reasons for denial. If the gas inspector denies a seismic survey permit, the gas inspector shall provide the applicant with a written explanation of the reasons for denial within 30 days."
"SEC. 51A-12.201_4","(d)   Appeal."
"SEC. 51A-12.201_4_1","(1)   If the gas inspector denies a seismic survey permit, the gas inspector shall send the applicant, by certified mail, return receipt requested, written notice of the decision and the right to appeal."
"SEC. 51A-12.201_4_2","(2)   The applicant has the right to appeal to the permit and license appeal board in accordance with Article IX of Chapter 2 of the Dallas City Code."
"SEC. 51A-12.201_5","(e)   Notice.  At least 72 hours before commencing geophysical operations (laying out of geophones), the operator or applicant shall provide written notice via United States mail, or other methods of delivery to each tenant, property owner, and resident within the area to be seismically surveyed.  The written notice must include:"
"SEC. 51A-12.201_5_1","(1)   general information about the seismic operations to be conducted;"
"SEC. 51A-12.201_5_2","(2)   an overview of the seismographic survey process; and"
"SEC. 51A-12.201_5_3","(3)   a hotline number to call with questions or complaints related to the seismic survey activities.  The hotline number must be adequately staffed with trained personnel during normal working hours.  (Ord. 29228)"
"SEC. 51A-12.202","GAS WELL PERMIT."
"SEC. 51A-12.202_1","(a)   In general."
"SEC. 51A-12.202_1_1","(1)    No person shall participate in site preparation, drilling, reworking, fracturing, operation, production, or any other related activity without first obtaining a gas well permit issued by the city in accordance with this article. Each well on an operation site must obtain a separate gas well permit."
"SEC. 51A-12.202_1_2","(2)   A gas well permit is required, in addition to any permit, license, or agreement required under this article, other city ordinances, or state or federal law."
"SEC. 51A-12.202_1_3","(3)   A gas well permit application may not be approved until an SUP is approved. Denial of an SUP is grounds for automatic denial of all related gas well permit applications."
"SEC. 51A-12.202_1_4","(4)   A gas well permit automatically terminates if the operator does not begin drilling within 180 days after the gas inspector issues the gas well permit. The gas inspector may extend the time for an additional 180 day period upon request by the operator and proof that the conditions on the operation site have not substantially changed. Only one extension is permitted."
"SEC. 51A-12.202_1_5","(5)   An existing gas well permit does not authorize reworking of an abandoned well. A new gas well permit is required to rework an abandoned well."
"SEC. 51A-12.202_1_6","(6)   A gas well permit automatically terminates after the well authorized by the gas well permit is abandoned pursuant to this article."
"SEC. 51A-12.202_1_7","(7)   The operator shall complete all drilling activities on the operation site within five years from the date the first gas well permit was issued."
"SEC. 51A-12.202_1_7_1","(A)   The operator may apply for a one-time, two-year extension from the gas inspector.  The request for an extension must be made to the gas inspector in writing at least six months before the fifth year from the date the first gas well permit was issued."
"SEC. 51A-12.202_1_7_2","(B)   The gas inspector must approve or deny the extension within 45 days after receiving the extension request.  The gas inspector must approve the extension if the drilling activities will not adversely impact the neighboring properties or if additional measures required eliminate the reasons for denial."
"SEC. 51A-12.202_1_7_3","(C)   If the gas inspector denies the request for a one-time, two-year extension, he must provide the operator with a written explanation of the reasons for denial within 30 days."
"SEC. 51A-12.202_1_7_4","(D)   As a condition of approval of the extension, the gas inspector may require additional measures, as necessary, to minimize the impact of the additional drilling activities upon neighboring properties."
"SEC. 51A-12.202_1_7_5","(E)   The operator has the right to appeal to the permit and license appeal board in accordance with Article IX of Chapter 2 of the Dallas City Code."
